index,content 
10,"Вы не забыли что у Дейенерис убили всю родню, а ей самой пришлось бежать за море в другую страну скрываясь от наемных убийц? Или что её мужа убили, её ребенок умер и её саму сожгли заживо? И вы думаете что после того что она пережила, оставаясь при этом великодушной и ценящей жизнь, она вдруг сойдет с ума из за какой то служанки?"
11,Админы исправьте раздачу. Не качается не один файл этой серии.
12,"Самая бессмысленная и беспощадная серия, - серия рофл. Можно много написать и всё это будут спойлеры. Неприятного просмотра!"
13,То чувство когда финал 5 сезона Флэша лучше Игры Престолов
14,"залейте на яндекс или ещё куда кто скачал, совсем не качает с лоста, поиск пиров"
15,"да тут дело не в скорости, пиры не находит"
16,"приоритет скорости -высокий-скачка-пауза- скачка
помогает такая манипуляция если пиры сразу не находит
остаюсь на раздачи"
17,"всё это уже пробовал, далеко не первый год с торрентами работаю, у многих такая проблема, проще на яндекс залить"
18,"Мда, неприятный вкус от концовки остался. Очень много нелогичных вещей, отсюда много вопросов. Зачем Бран Старк так настаивал и уговаривал Сэма Тарли рассказать Джону о его происхождение, а в концовке сказал, что он полз в лесу за стеной как Маресьев для того, чтобы стать королем? Джон был убит, воскрес, победил в войне с мертвецами, потом участвовал в войне с Дени за трон а в конце был отправлен на север морозить яйца. При чем тогда тут его происхождение? Почему так было важно ему рассказать о том, что он Таргариен, если в концовке это не имело никакого значения?
Санса: ""Север останется независимым королевством!"". Лорды Вестероса: ""А что, так можно было? Млять!..."" Даже принц Дорна не пикнул, хотя Дорн - это было единственное место, которое было завоевано лишь век спустя после завоевания Эйгоном Завоевателем остальных шесть королевств.
Для того, чтобы стать королем 7, нет 6 королевств, надо было в сериале сидеть в инвалидной коляске весь сериал с умным покерфейсом, сказать пять фраз. Но при этом иметь красивую историю про трехглазого ворона.
С чего у Дени поехала крыша? Семь сезонов она была нормальным персонажем, она развивалась, за нее переживали, ее любили, за ней шли, а в последних двух эпизодах из нее сделали шизофреничку, которая устроила геноцид, по итогам которого она уничтожила практически половину населения Вестероса (в городе проживало примерно 1 млн человек. А тот же Ланистер собирал войско всего 20т. Чтобы собрать войско в 1 млн чел. нужно по крайней мере 50 великих лордов.) и в итоге такой же положительный персонаж, который в конце стал слюнтяем ее завалил. Его друг Сэм Тарли и ни слова не сказал в его защиту. Никто не сказал, хотя он законорожденный Таргариен. Но в итоге Вестерос решил поиграть в демократию и они выбрали президента-короля инвалида, типа Рузвельда, который на малом совете сообщил, что ширнется и пойдет искать дракона, а вы тут решайте как дальше жить. Кстати, Брон Черноводный как в совет-то попал? Более достойных нет? Короче, бред полный, никакой логики нет."
19,"Как же вы ее не любите. Она не была жестокой - она была адекватной. То, что у Серсеи вы оправдываете ""борьбой"" и ""выживанием"" у Дени называете безумием. К сожалению, это не адекватная оценка, а просто личная неприязнь к персонажу.
Серсея погубила кучу народа, один взрыв в септе чего стоит, это ее нормальной не делает.
Кстати, а вы слышали, что социопаты и психопаты - спокойные на вид и уравновешенные люди? Они часто красивы, ухожены и милы. Однако... вот и с Серсеей так. Она в несколько раз безумней Дейнерис. Но как персонаж она не слабее Дени. И та и та - лучшие женщины сериала, несмотря на те вещи, которые творили. А в финале победила серость и демократия. Вот и все."
20,"Дейенерис, как персонаж, мне нравилась больше Серсеи. Она харизматична, и за ней было интересно наблюлать. Но это не отменяет того, что она жестока и психически нездорова. Почему — писала выше.
Я не оправдываю действия Сересеи. Говорю лишь, что она не страдает от навязчивах идей. Она знает,что поступает часто как стерва, и ее это вполне устраивает. Дейнерис же уверена в непогрешимости своих действий.
 
Я ведь тоже могу сказать, что у вас не адекватная оценка персонажа, а чрезмерная симпатия к ней."
21,"Отчитал 20 страниц, однозначно лучший коммент, а игра в демократию это вообще последний гвоздь в гробу 8-ого сезона. Надеюсь Мартин их всех надул( если финал и правда по его сюжету) и сам придумает что-то другое, или просто увидит что миру такой финал не зашёл и спасёт концовку. Вся надежда на исправления говённого послевкусия на это, иначе просто печаль."
22,http://a.retre.org/share/?sdr=f281707af775f8a2a1ab77c3f1bb991f&c=145&s=8&e=6&u=4715888&n=1&newbie=
0,
1,не знаю  мне очень порадовала концовка и сериал и все логично и правильно поэтому я ставлю все 10
2,"Серия, как и весь последний сезон полное дно, но разве что картинка и спецэффекты местами радует, но музыкальное сопровождение. А в целом не этого мы ждали 2 года, финал сериала можно сравнить пожалуй с сериалом ""Остаться в живых"", такой же сон собаки, благо дело сериал закончен, не придется плеваться после каждой новой серии))"
3,Нахер эту чушь.
4,Тебя забыл спросить
5,"Самый худший конец всего сезона, даже не ожидал что так закончиться с этим ублюдочным Сноу который мая не понимать мая за человечество. Идиот хренов."
6,"нужно было заканчивать на 3 серии 8 сезона, эти 3 конечно подкачали, но последние три просто слили все предыдущие серии"
7,небось всю вторую половину сезона все стояли на площади и торжественно смотрели друг на друга подводя итоги?
8,"Спасибо. Наконец-то это закончилось, многолетний гештальт закрыт. Фанаты, подобно дракоше, тыкающему носом бездыханную тушку Дыни, подписывают петицию о переснятии и еще не осознали, что их любимое телешоу померло. Актеры высказались, типа вы не понимаете, ""игра престолов - это неожиданность и непредсказуемость""! Казнь Боромира - это было неожиданно, но, вместе с тем, логично. Красная свадьба была сюрпризом, но к такому все шло. Без Жоры Мартынова сценаристы слили сначала всех ""типа плохих"", а потом еще и ""типа хороших"". Это при том, что Жора сам косячит. И ведь ХБО до это умели расправляться с антагонистами! Как мы все ждали, когда грохнут Ральфа Сифарето? Как мы ликовали, когда Сервилия сошла с ума и самовыпилилась? Нынешним героям не сопереживаешь, они не вызывают никаких эмоций. А предсказание Серцее, что ее место займет другая, более молодая - это к тому, в какой последовательности актрисы играли Сару Конор)"
9,"Кто жалуется на невозможность скачать, разберитесь на своей стороне.  В AceStream запустилось без проблем"
10,Ого Рейтинг IMDb: 4.4 ___)))))))
11,"Как же весь сериал раздражала Санса. И такая концовка вдвойне оставила плохой отпечаток...
Конечно актриса не хотела чтоб попробовали переснять сериал, ведь её персонаж сразу пойдёт на плаху...."
12,"Весь сериал меня раздражал Джордж Мартин. И такая концовка вдвойне оставила плохой отпечаток...
Конечно, автор не хотел, чтобы попробовали переснять сериал, ведь тогда бы ему сразу отрубили руки за такую писанину..."
13,О великий сарказм. Что вы хотели высказать своим постом?
0,
1,"1080р последняя серия - повисю до утра:
magnet:?xt=urn:btih:51F4B3133DCC8030FA718C644B2606F3D0D18437&dn=Game.of.Thrones.S08E06.1080p.rus.LostFilm.TV.mkv&tr="
2,"вот это другое дело, всё сразу загружает. пасибо!"
3,добавил на яндекс-диск https://yadi.sk/i/akoVw0Az1bcq4Q
4,"Спасибо! Обновляй коммент почаще, может кому ещё пригодиться"
5,"Хватит ныть, там уже 9й сезон сняли."
6,https://transfiles.ru/13zhz  торрент файл
7,Dissapointment!
8,"Видно у леваков пердочелло полыхает, т.к. действия дейнерис как под копирку похожи на действия леваков (коммунистов/социалистов/леволибералов). ""Под основание разрушим мир и устроим геноцид ради светлого будущего."" Прально её грохнули."
9,"Я наверное не буду оригинальным, но столь ожидаемая концовка полный шлак. Полезного хронометража там минут 15. Всякое фуфло вроде всеобщих выборов и вообще выборов короля, это же просто смешно. Да и королем стал человек, который вообще не проявлял никакого желания не то что быть королем, он даже собой по сути не является, жил где то отшельником за стеной, летал птичками, лично у меня сложилось чувство, что ему насрать на власть и еще больше насрать на людские проблемы. И тут на тебе. Арья, которая как я думал должна убить Дени в итоге оказалась просто затычкой для кадров, ну и зачем нам тогда показывали в прошлой серии, как она 15 минут бегала по городу и смотрела за страданиями людей. Суть в том, что это не то чтобы ""неожиданные повороты"", которые и были долгое время визитной карточкой сериала, а в том, что это просто напросто бред собачий. Хуже концовку трудно придумать, разве что королем бы назначили дерево из богорощи Винтерфелла. И то тут еще подумать надо."
10,"Отвратительная серия, хочется просто взять и забыть все что было после 3й. Хоть и ее можно раскритиковать, но последние 3 это какой-то лютый фейспалм. Слили все что только можно. Худшая концовка в истории сериалов однозначно (Лост не видел), а смотрел я дофига, и такой нелогичности еще не было.
 
P.S.Типичный зритель которому все зашло. Делайте выводы сами.
https://youtu.be/r37KCKcfl68?t=4858"
11,Дякую за якісну озвучку Lostfilm.tv
12,"жлако что дейнерис убили конечно, ну а бран король норм будет"
13,Только нытики
0,
1,"А вою - то вою! Да срать Мартин на вас хотел, потому, как  хозяин всего и он так видит. Что начало, что середину, что концовку. Не оправдали их, видите ли, ожиданий и прочих эротичных фантазий.  Дебилы истеричные, дегустаторы занюханные."
2,"""Отметим, что шестой, седьмой и восьмой сезоны сериала ""Игра престолов"" не были основаны на книгах писателя. Он лишь консультировал создателей шоу, намечая лишь в общих чертах направление развития сюжета"". В ""общих чертах"", друг мой. Если ты читал книги из серии романа, то должен знать, что очень половина того, что там есть не совпадает с сериалом."
3,"Сейчас бы слова в кавычках выдавать за пруф. Я читал книгу, сериал не должен быть 100% киноадаптацией. Это сериал по мотивам. Ты из своих же кавычек подчеркнул, выделяя из контекста, то, что тебе сейчас удобно."
4,"Это цитата из официального новостного ресурса лол https://www.kinonews.ru/news_87117/
https://www.thewrap.com/george-rr-martin-writes-about-the-real-ending-of-game-of-thrones-and-his-progress-on-the-last-2-books/
 
Повторяю, Мартин косвенно имел отношение к созданию 6 7 8 сезона, поэтому он не имеет отношения к данному повороту событий в них. И что бы ты там не говорил, именно так оно и есть."
5,"Ух ты, я забыл включить впн, а красная кнопка всё равно работает, чудо"
6,Нахера вы спойлите - чу неделю подождать пукан рвет ? :) - мозгоклюи волосатыя блин :)
7,сериал закончился как второсортный ситком...
8,"я думал,что всё закончилось еще в 3 серии, пока не вспомнил о не пришедших на войну)) согласен, концовка - хрень полная... но, тут не снимают по моим хотелкам - за сезон твердая 10,хоть ожидания мои и не оправдались"
9,"дело не в хотелках, а в самой постройке экспозиции серии и раскрытии"
10,"Не понимаю отдельных коментаторов,а вы чего ждали то?????????? Отличный финал как по мне,да сезон не очень,некоторые серии  вообще не возможно смотреть, но в целом все на уровне
.."
11,"Согласен, все серии нас вели к финалу, он такой каким его выбрали сценаристы, не нравится, ну как бы это тоже хорошо, никто не любил и никому не понравился Джофри, но это не значило, что он плохой актёр, а наоборот."
12,а где раздачи?
13,прощай самый непредсказуемый и добрый сериал))
14,Хуже финала и не придумать 1/10
15,Господа почему не качается? у кого как удалось скачать?
16,"на 24 странице магнит-ссылка, открывайте и качайте"
17,"Может кто нибудь выложить 1080 на яндекс диск, будем очень признательны"
18,ловите https://yadi.sk/i/akoVw0Az1bcq4Q
19,Благодарю
0,
1,"Надеюсь Дроган воскресит с помощью Кинвары, верховной жрицы Владыки Света из Волантиса, Дейнерис и она всех спалит, а Сноу вернётся к ней найдя дракона во льдах, и будут править они вместе строя свою империю.А Брана, тоисть  трёхглазого ворона, который всё знал и ничё не делал, сожгут."
2,"У меня вообще надежда была, что после титров покажут как где то в дотракийском море Дрогон приземляется и Дени открывает глаза, вот это была бы концовочка)"
3,"))))) Действительно! Но, увы..."
4,концовка как в детских сказках и жили они долго и счастливо... для одного из самых масштабных сериалов это просто шлак
5,где онлайн посмотреть?
6,"На сайт google.ru заходим и пишем слова в поиске -- смотреть сериалы lostfilm онлайн -- и тебе поисковик найдет такие сайты, а здесь только качать через торрент видеофайл и смотреть его."
7,"Да и про сайты что найдет поисковик там могут быть вирусы, особено в рекламе бывают, так что такие дела -)."
8,Тут: https://gex.at.ua/
9,"Полнейшее разочарование!!! Даже комментировать передумала. Шлак, столько лет смотрела, и такой конец конченный."
10,http://fanserials.realty онлайн здесь смотрите
11,"1) Спасаешь жизнь минимум 2 раза, спасаешь весь мир от 100% уничтожения, убиваешь безумную королеву, которую никто не мог убить и которая бы тебя рано или поздно умножила бы на 0 вместе с твоим Винтерфеллом, ты платишь за это всадив перо в печень
2) - Я никогда не буду лордом чего-либо
     - Будешь править 7ю королевствами?
     - Так а за чем же еще я прошел этот путь?
3) - Ты будешь десницей, исправлять серьезные ошибки, которые натворил
     - Ок! ""поправляет стулья чтобы ровно стояли""
4) - У нас голодает народ, что будем делать?
     - Давайте построим корабли!
     - Норм тема, а лучше бордели, и побольше!
     - Захожу я как-то в бордель с ослом и медовыми сотами...
5) - Ты наказан, будешь сидеть всю жизнь на стене, никуда не выйдешь
     - Лол! ""в тот же день сваливает с нее в рандомном направлении""
6) - Ты освободила нас от рабства, без тебя мы максимум толчки бы охраняли! А, погоди, тебе перо всадили в печень? Хмм, что делать с убийцей? Отпускаем его, норм парень.
7) - Ты кошмарила 7 королевств 8 сезонов? Хмм, какая же смерть для тебя подходит? Точно, ударом кирпича по голове, а потом тебя найдет с первого раза карлик и откопает (все равно там 1 слой как раз)
8) - Карлик освободил своего брата, который убил человека, который был тебе отцом, что будешь делать?
    - Буду его шестеркой и всажу перво в печень тому, кому он скажет, особенно если приносил клятву на верность, я ведь человек чести, могу и передумать, подумаешь, клятвы это такое себе.
9) - Я кидал детей из окна и вырезал деревни, и сделал бы с радость это еще раз, и на этих жалких людей мне плевать! И тебя я поимел, а теперь сваливаю!
     - Ты такой классный! Запишу что ты отправился в столицу спасать бедных работяг, мой герой! А потом меня еще и в совет выберут, ведь я такая умная!"
12,"Только печень - с правой стороны, и всаживать в неё перо правой рукой, находясь к жертве лицом, не очень удобно."
13,десяточка!!
14,"Значит зарезал как свинью ножом в сердце. Лучше бы уже Дени правила, чем такой конец."
15,У кого-нибудь зависает загрузка на 95%?
16,Засрали концовку. Нет слов. Все положительные эмоции о сериале пропали.
17,"Не читать комментарии перед просмотром, не читать комментарии..."
18,"Эта серия такой фейл что я уже почти стер ее из памяти. Не бомбите и поступайте также, беннивайси свое гумно сами пусть едят"
0,
1,"""Игра Престолов - это, в первую очередь, неожиданность и непредсказуемость""
Это правду в интервью сказали. Такого говна никто не ожидал и не предсказывал.  Это при том, что весь сезон происходила какая-то хрень. Но такого финала не ждал никто. Сюжетные линии, которые длились 8 лет либо тупо обрубили (Джейме и Серсея, Король Ночи, Дейнерис и её борьба за демократию и т.д.), либо просто забыли (роль Арьи, предсказания по поводу ""Принца, который был обещан"", происхождение Джона и его воскрешение (Ради чего? Против Короля Ночи он ничего так и не сделал, всё было сделано без него) и т.д). А потом создали ""Свои 7 королевств, с инвалидами и карликами"". Это при том, что он детей иметь не может, и такого короля выборами бы никогда в жизни не назначили нигде. П*здец, товарищи, я надеюсь что Вы все смотрели это залпом, а не как я и многие другие - с момента выхода первого сезона"
2,"6 королевств, у Ссансы свой бордель"
3,От того и грустно что не залпом
4,6 серию в 1080 можно скачать здесь https://dropmefiles.com/IA2JF
5,спасибо тебе добрый человек!!!!
6,"Ясно, понятно, идите нахуй HBO."
7,С языка снял! Нахуй HBO!
8,"Наверное у многих сейчас дико бомбит от финала, да и от всего восьмого сезона, как у меня. Слили просто всё, что только можно."
9,еще и как бомбит!!!!!!
10,"Да не бомбит у меня, не боммбиииит!!!!"
11,"Мои слова, точ в точ, на других ресурсах."
12,говно а не серия... слили сериал
13,"Ахахах, вот это пожар жопанов :DDDD"
14,"Две шутки из серии.
- Пойду спрошу у коня, кто должен стать королем.
и способ записи в Книгу, отсюда вспомнилось иное письмо:
- А на днях я линять начал. Старая шерсть из меня клоками лезет, зато новая растет... Так-что волосатость моя повысилась!"
15,"на яндекс-диске 1080р качество:
https://yadi.sk/i/akoVw0Az1bcq4Q"
16,Спасибо!))
17,Спасибо!))
18,"Встаньте на раздачу 1080 плиз, вообще не качает. Спасибо."
19,"выше на 1 пост яндекс-диск:
https://yadi.sk/i/akoVw0Az1bcq4Q
 
раздача на магните:
magnet:?xt=urn:btih:51F4B3133DCC8030FA718C644B2606F3D0D18437&dn=Game.of.Thrones.S08E06.1080p.rus.LostFilm.TV.mkv&tr=
 "
20,там не чего качать серия гомно
21,6 серию в 1080 можно скачать здесь https://dropmefiles.com/IA2JF
22,"один  из худших финалов в истории, но  не самый. на 2-3 балла тянет."
0,
1,"Концовка, как и почти весь сезон отстой. Худше даже не придумаешь, столько не логичности и ляпов. Кому не понравился финал, подпишите петицию, чтобы эти  уроды не добрались до Звездных воин, а то так же просрут все в конце. Снимали полтора года, а сняли полное Гавно"
2,"Даже не знаю чем ещё уже можно испортить Звёздные войны, там и так дно!)"
3,"Ах*енна палучилась бы, еслип ты руский езык выучел"
4,Это такой адский слив коих свет ещё не видовал.
5,Вместо тысячи матерных слов: БОМ-БОМ-БОМ
6,"Король ночи: Идет молча,крошит всех. (ходят слухи что его ничто не берет)
Арья: -Нож в печень,никто не вечен.
Дейнерис: -Я Дейнерис бурерожденная,королева андалов и первых людей,мать драконов разрушительница оков.
Джон: -Нож в печень никто не вечен.
 

Санса-"" Бран ты теперь лорд Винтерфела""
-Нет, спасибо
Тирион -""хочешь стать королем""?
-Хех, для этого я здесь =)
 

Был железный трон, стала деревянная коляска)
 
Дэни хотела сломать ""колесо"", а теперь на троне два колеса.
 

Ахахахахах, сотрите мне память пожалуйста..."
7,"Забавный факт:
- Арья сама получала перо в печень, но уже на следующий день паркурила;
- Цареубийца получил пару раз в бочину и нормально бегал по рушащемуся замку;
 
А вот Руся Болтон с одного тычка помер, как и Дыйнерис"
8,10 балов:)))!
9,"Ну так: быть королём 6 королевств - вместо того, чтобы быть всего лишь лордом Северной провинции.
 
На троне два колеса и трон на двух колёсах... Прекрасная возможность пригрозить инвалидной коляской какому-нибудь выскочке - пусть пораскинет мозгами, что имеется в виду."
10,Полностью разочарован концовкой. Просто после просмотра серии был без эмоций... Так испортить нужно постараться было
11,"Люди, в чем дего,  что с раздачей? :-((("
12,"Почему я ни разу не смотревший весь сериал, и только мельком 3 серию глянувший. Понял кто будет главным на троне :) Что за банальности, в кресле сидел его все защищали и в итоге занял трон сгоревший... хехе, где логика этого сериала. Банально слили главную героиню и тд... как вы это смотрели"
13,"это как живешь 20 лет с женой... и нравится что-то и не нравится, иногда и дерутся некоторые )) но это своё, родное... у Престолов есть свои фанаты за 7 лет, как и у Ходячих"
14,"Всем адекватным фанатам респект, но вот реально логику не понял. Ну а он калека наверное, типа вот его и сделали тронопреследователем :) Но вот возмущение фанатов я теперь могу понять, хотя все понимают, что переснимать не будут... там же автор еще даже книгу не написал до конца, вот им утешение и будет"
15,"А теперь попрошу минуточку внимания. Возможно вас бомбит за финал 8-го сезона. Возможно теперь вас воротит от упоминания Д. Бенниоффа и Уайсса. Может даже пойдете подписывать петицию о пересъемках сезона (что наивно). Речь пойдет не в защиту этих товарищей из команды ""ДиД - 2 дебила это сила"".  Но давайте побудем немного объективными. Помните события 2017 года, когда был произведен взлом серверов HBO и украдено множество конфиденциальной информации? Помимо множество других проектов компании и планов их развития, под угрозой оказалась и популярная фентезийная сага - в распоряжении злоумышленников оказались ранние наброски сценария по 7-му и 8-му сезону. Позже они утекли в сеть 7-й практически полностью подтвердился, менялись лишь детали словно сценаристы быстренько переделали некоторые сцены на монтаже. Но 8-й который тоже многие прочитали оказался под угрозой раскрытия. Естественно сценаристы не могли такое допустить и приняли единственное верное решение - переписать все полностью. А вот сейчас всем кто уже от смотрел 8-й сезон, предлагаю ознакомится и либо освежить память, либо прочитать впервые. Ну что правда немного лучше того что в итоге сняли? Вот и ответ. Отсюда и слепленный на коленке местами нелогичный, многими презираемый финал сериала. Кто виноват в этой ситуации 2Д, HBO с их халатностью в отношении безопасности от утечек или ""засранцы"" из теневой части интернета, которые достали и испортили финал сериала, поскольку их требования не были выполнены и они опубликовали сценарий 8-го сезона - решать вам."
16,"Мое мнение, книги Мартина были тоже написаны и можно было их прочитать, и никто не терял интерес к сериалу."
17,Причем тут динозавры? Пиши аргументированно что не устраивает в этой версии
18,А ведь об этом никто не подумал... Может действительно все так
19,"Ох уж этот Бран, какую аферу провернул. Мы тут думали гадали... Вон оно как Петрович."
20,"Тут даже писать особо нечего, если бы Дж.Мартин писал сценарий для этого сезона, думаю концовка была бы не такой... 1/10 - к сожалению ноль поставить нельзя... Просто слив и гавно..."
0,
1,"Как забавно читать коменты неадекватов выросших на ""хероях"" марвела и предскзауемых шаблонных сценариях сериалов аля ""супергерл"", ""флеш"", ""стрела"" т.д. А по факту - ""Игра Престолов"" лучший сериал и вряд ли будет лучше!"
2,Поддерживаю
3,Как раз 8 сезон вполне в духе Марвела.
4,"Наталья, вообще-то ""Игра перстолов"" как раз и не в духе Марвела однозначно! Марвел - это всегда предсказуемые события, и по стандартной схеме: ""был лох-получил на халяву суперспобности-стал героем-всех победил-хепиенд!"""
5,"за два года,сняли такууууую хрень)"
6,хужая концовка на свете!!!! сериал - туфта!!!
7,....
8,"Критика совершенно не обоснованная и хайповая, ""все бомбят - ну и я буду бомбить"".
Серия как и весь сезон динамичные, интересные и не идут в разрез со всеми предыдущими. Финал закономерный, мудрый и грамотный. Будет, что вспомнить, обсудить, о чем поговорить и что покритиковать, это говорит лишь об удачном сюжете.
Спасибо ЛФ!"
9,"Простите, а все, кто не разделяет Вашего, единственно правильного мнения, страдают беспамятством и находятся в возрасте 15 лет? Хотя, о чем это я: трудно вести диалог с человеком, не способным из всех предложенных в нужном порядке слов предложения складывать.  Вырвали из моего поста несколько слов, сложили в нужном Вам порядке, сделали глубокомысленные выводы, которые, почему-то, самому не понравились."
10,"О чем можно говорить с человеком, и уж тем более что-то ему доказывать, который пишет что сезон слабый, но не серия. Потом пишет серия слабая, но не самая слабая и при этом ставит ей 10 из 10. Вы сначала мусор у себя в голове разгребите, а потом в дискуссии бросайтесь. Я вам всё сказал. Понимайте мои слова как хотите."
11,"Логика Lisnick'а вполне последовательна: ""В целом, сезон слабый, да, но не эта серия"" = серия > сезон; ""Да, серия слабая, хотя и не самая слабая в этом слабом сезоне"" = серия > сезон. Что не мешает самой серии быть слабой - по оценке Lisnick'а.
А оценки где-то засчитываются, да? Если поставил 10 - то всё, в книжке с чёрным кожаным переплётом это отольют в граните?..
Оценки могут вообще не иметь никакого смысла - или иметь только для самого человека )
Кстати, вы ему ничего и не доказывали."
12,"(не смотрел, только комменты читал)
Интересно какой логикой производители сериалов обосновывают такие вот сливы? Или резкие закрывания реально хороших сериалов, которые куча зрителей смотрела взахлеб. Не понятно.
Если я, к примеру, произвожу какой-то продукт, обнадеживаю клиента и в конце его просто кидаю, то по всей возможной логике этот клиент, как минимум, больше никогда не будет со мной сотрудничать и, как максимум, куче других моих потенциальных клиентов расскажет, что со мной связываться, мягко говоря, не стоит. Однако, судя по логике таких вот производителей, они абсолютно уверены, что кидок клиента - это улучшит способ наладить с ним отношения 0_о"
13,"От канала и онлайн-сервиса, они платные, месячная подписка там"
14,"Хм, а это действенно. Лучший способ наказать таких - рублем =)
Интересно, есть у НВО выход на китайский рынок? На сколько я знаю именно китай является лучшим поставщиком бабла для американского кинематографа. И если есть, то как они на концовку сериала отреагировали."
15,"Опа. Китайцев, оказывается, вообще лишили 6-й серии и они тоже отписываются, только по причине такого вида кидалова. Чувствуется НВО побоялись показывать им, ибо Китай реально много денег дает, но опростоволосились и китайцы отписываются все равно.
Да, после такого поступка с фанатами своих сериалов НВО реально может потерять донат, ибо есть торрент. Небось в команде НВО тоже появились всякие толерасты. Они отличаются редкой недальновидностью. Игровые студии, в которых тоже завелась эта раковая опухоль, так же вымирают постепенно, теряя поклонников своих игр.
Вспомните последний Масс Эффект. Как оказалось в команде появилось огромное количество всяких лезбиянок, пидерастов и особенно много фиминисток и всякой боди тру ебанутости."
